TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BTSG11;0,00;0,00;;;0,33;;;72.641.758,17;52,00;Ativa;
BRCR11;79,70;7,09;0,74;2.844.303,15;0,56;-27,88;-5,15;2.871.540.176,98;126.814,00;Ativa;
BCRI11;110,30;11,83;1,04;3.292.685,44;1,55;4,00;2,44;468.178.712,47;38.613,00;Ativa;
BLMG11;98,27;4,25;0,99;1.171.689,89;21,77;;;379.673.074,25;2.700,00;Ativa;
BICR11;97,10;3,17;0,98;3.034,20;8,22;;;49.525.261,27;623,00;Ativa;
BTAL11;97,45;1,59;0,97;922.815,67;37,18;;;601.581.817,76;9.672,00;Ativa;
BTCR11;93,20;6,90;0,96;1.513.556,52;2,99;-6,47;;466.929.590,31;8.772,00;Ativa;
BTWR11;107,10;0,52;1,00;249,00;2,80;;;86.365.770,58;53,00;Passiva;
BZEL11;0,00;0,00;;;0,02;;;538.952.010,85;3,00;Ativa;
CCRF11;0,00;0,00;;;84,21;;;157.187.751,77;12,00;Ativa;
CNES11;41,17;5,21;0,47;19.477,04;5,68;9,07;-19,68;257.473.314,39;2.518,00;Ativa;
CORM11;106,80;2,31;1,08;20.711,80;44,30;;;90.460.231,10;62,00;Ativa;
CXCO11;100,70;1,95;1,01;419.346,48;0,92;;;393.177.556,14;13.462,00;Ativa;
CXRI11;75,80;9,89;0,83;58.000,44;0,55;-4,83;-56,70;143.766.078,73;3.030,00;Ativa;
DEVA11;103,72;13,05;1,04;3.829.325,33;29,41;;;960.639.964,75;31.999,00;Ativa;
DMAC11;13,00;328,73;1,21;22.795,37;27,96;;;1.673.504,88;2.072,00;Passiva;
DOMC11;439,00;0,00;4,04;17.499,67;0,35;;1,08;265.475.108,03;1.158,00;Passiva;
FISD11;0,00;0,00;;;0,00;;;119.260.695,95;25,00;Ativa;
FLCR11;100,98;4,88;1,00;37.660,00;14,63;;;50.492.944,25;167,00;Ativa;
FLMA11;137,50;3,75;0,88;210.606,52;2,08;-14,88;286,04;214.724.797,74;74.717,00;Ativa;
FLRP11;1.290,57;5,59;0,78;16.161,64;1,65;-6,99;2,31;108.437.237,85;970,00;Passiva;
FMOF11;67,21;1,96;0,51;8.926,61;1,33;20,42;-9,27;67.138.225,68;361,00;Passiva;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;10,97;131.819.480,59;3.846,00;Ativa;
FPAB11;250,05;7,55;0,56;14.769,73;1,18;-12,93;-7,51;336.149.327,91;975,00;Passiva;
FVPQ11;124,29;2,68;0,63;124.773,22;0,98;-5,95;-22,10;550.899.159,13;5.282,00;Passiva;
GALG11;103,10;5,59;0,98;2.003.359,07;0,16;;;591.621.104,25;3.920,00;Ativa;
GCRI11;100,72;4,90;1,00;52.101,11;1,46;;;87.076.265,78;222,00;Ativa;
GESE11B;1.520,00;6,65;1,12;456.000,00;1,49;;;70.335.173,68;55,00;Passiva;
GGRC11;118,80;7,29;0,95;2.085.540,44;13,96;-2,73;-0,88;966.425.568,63;93.758,00;Ativa;
GSFI11;5,30;0,00;0,39;194.352,96;0,22;;;926.476.972,09;5.281,00;Ativa;
