TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;11,01;;-19,85;1,08;0,51;21,41;2,55;-6,71;52,13;74,24;22,54;0,47;1,33;22,48;-0,65;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;18.333.258,11;10,15;-0,55;0,03;1.307.135.616,80
ABCB4;15,00;6,19;9,33;0,77;0,07;13,55;8,97;8,56;8,91;8,90;;;0,80;1,08;-0,08;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;12.299.748,22;19,43;1,61;-0,45;3.404.917.177,08
ABEV3;17,33;2,83;21,13;3,33;2,04;52,95;27,05;20,69;16,16;15,47;-0,85;-0,17;4,37;52,67;-2,83;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;551.672.252,19;5,21;0,82;0,80;274.373.564.048,85
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;10,22;;65,45;7,91;2,82;10,82;8,71;4,61;34,64;37,51;2,87;0,66;3,02;6,63;-8,88;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;44.668.138,70;1,29;0,16;2,51;7.891.998.596,80
AESB3;13,65;1,25;;2,91;0,57;;;;;;;2,42;;9,89;-0,73;1,34;0,00;0,00;;0,19;0,81;0,00;;;11.379.195,81;4,69;0,00;;5.463.768.258,80
AFLT3;10,26;11,33;34,28;3,34;3,06;67,61;54,72;52,63;32,97;31,22;-1,76;-0,18;18,04;11,76;-4,26;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;27.303,04;3,07;0,30;-1,45;649.772.410,00
AGRO3;29,74;2,39;25,47;1,76;1,06;46,45;39,31;7,58;4,91;5,39;0,46;0,16;1,93;6,62;-1,85;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;24.281.983,00;16,91;1,17;-0,78;3.079.500.400,64
AHEB3;26,01;;-4,72;-8,87;0,79;19,18;-17,42;-25,58;-6,94;-6,55;0,50;;1,21;-3,94;-1,01;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;16.838,40;-2,93;-5,51;-0,06;225.693.756,27
AHEB5;21,51;;-3,91;-7,34;0,65;19,18;-17,42;-25,58;-5,74;-6,55;0,50;;1,00;-3,25;-0,84;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;2.151,00;-2,93;-5,51;-0,05;225.693.756,27
AHEB6;51,50;;-9,35;-17,57;1,56;19,18;-17,42;-25,58;-13,73;-6,55;0,50;;2,39;-7,79;-2,00;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;6.742,00;-2,93;-5,51;-0,11;225.693.756,27
